Event Date,Hours Absent,Function Category
2021-12-26,10,S7 - STD Pay @75%
2021-12-27,14,S7 - STD Pay @75%
2021-12-28,14,S7 - STD Pay @75%
2021-01-27,12,SI - STD Pay @ 100%
2021-01-28,12,SIE - STD Pay @ 100% Incident End
2021-08-16,10,SIE - STD Pay @ 100% Incident End
2021-09-01,10,SI - STD Pay @ 100%
2021-09-02,10,SIE - STD Pay @ 100% Incident End
2021-12-09,12,SI - STD Pay @ 100%
2021-12-10,12,SI - STD Pay @ 100%
2021-12-11,12,SIE - STD Pay @ 100% Incident End
2021-12-30,12,SI - STD Pay @ 100%
2021-12-31,12,SI - STD Pay @ 100%
2021-09-29,8.5,SIE - STD Pay @ 100% Incident End
2021-11-01,8.5,SI - STD Pay @ 100%
2021-11-02,8.5,SIE - STD Pay @ 100% Incident End
2021-09-03,7.5,SI - STD Pay @ 100%
2021-09-07,7.5,SI - STD Pay @ 100%
2021-09-08,7.5,SI - STD Pay @ 100%
2021-09-09,7.5,SI - STD Pay @ 100%
2021-09-13,6.75,SI - STD Pay @ 100%
2021-09-14,6.75,SI - STD Pay @ 100%
2021-09-15,6.75,SI - STD Pay @ 100%
2021-09-16,6.75,SI - STD Pay @ 100%
2021-09-17,6.75,SI - STD Pay @ 100%
2021-09-20,6.75,SI - STD Pay @ 100%
2021-09-21,6.75,SI - STD Pay @ 100%
2021-09-22,6.75,SI - STD Pay @ 100%
2021-09-23,6.75,SI - STD Pay @ 100%
2021-09-24,6.75,SI - STD Pay @ 100%
2021-09-27,6.75,SI - STD Pay @ 100%
2021-09-28,6.75,SI - STD Pay @ 100%
2021-09-29,6.75,SI - STD Pay @ 100%
2021-09-30,6.75,SI - STD Pay @ 100%
2021-10-01,6.75,SI - STD Pay @ 100%
2021-10-04,6.75,SI - STD Pay @ 100%
2021-10-05,6.75,SI - STD Pay @ 100%
2021-10-06,6.75,SI - STD Pay @ 100%
2021-10-07,6.75,SI - STD Pay @ 100%
2021-10-08,6.75,SI - STD Pay @ 100%
2021-10-11,6.75,SI - STD Pay @ 100%
2021-10-12,6.75,SI - STD Pay @ 100%
2021-10-13,6.75,SI - STD Pay @ 100%
2021-10-14,6.75,SI - STD Pay @ 100%
2021-10-15,6.75,SI - STD Pay @ 100%
2021-10-18,6.75,SI - STD Pay @ 100%
2021-10-19,6.75,SI - STD Pay @ 100%
2021-10-20,6.75,SI - STD Pay @ 100%
2021-10-21,6.75,SI - STD Pay @ 100%
2021-10-22,6.75,SI - STD Pay @ 100%
2021-10-25,6.75,SI - STD Pay @ 100%
2021-10-26,6.75,SI - STD Pay @ 100%
2021-10-27,6.75,SI - STD Pay @ 100%
2021-10-28,6.75,SI - STD Pay @ 100%
2021-10-29,6.75,SI - STD Pay @ 100%
2021-11-01,6.75,SI - STD Pay @ 100%
2021-11-02,6.75,SI - STD Pay @ 100%
2021-11-03,6.75,SI - STD Pay @ 100%
2021-11-04,6.75,SI - STD Pay @ 100%
2021-11-05,6.75,SI - STD Pay @ 100%
2021-11-08,6.75,SI - STD Pay @ 100%
2021-11-09,6.75,SI - STD Pay @ 100%
2021-11-10,6.75,SI - STD Pay @ 100%
2021-11-11,6.75,SI - STD Pay @ 100%
2021-11-12,6.75,SI - STD Pay @ 100%
2021-11-15,6.75,SI - STD Pay @ 100%
2021-11-16,6.75,SI - STD Pay @ 100%
2021-11-17,6.75,SI - STD Pay @ 100%
2021-11-18,6.75,SI - STD Pay @ 100%
2021-11-19,6.75,SI - STD Pay @ 100%
2021-11-22,6.75,SI - STD Pay @ 100%
2021-11-23,6.75,SI - STD Pay @ 100%
2021-11-24,6.75,SI - STD Pay @ 100%
2021-11-25,6.75,SI - STD Pay @ 100%
2021-11-26,6.75,SI - STD Pay @ 100%
2021-11-29,6.75,SI - STD Pay @ 100%
2021-11-30,6.75,SI - STD Pay @ 100%
2021-12-01,6.75,SI - STD Pay @ 100%
2021-12-02,6.75,SI - STD Pay @ 100%
2021-12-03,6.75,SI - STD Pay @ 100%
2021-12-06,6.75,SI - STD Pay @ 100%
2021-12-07,6.75,SI - STD Pay @ 100%
2021-12-08,6.75,SI - STD Pay @ 100%
2021-12-09,6.75,SI - STD Pay @ 100%
2021-12-10,6.75,SI - STD Pay @ 100%
2021-12-13,6.75,SI - STD Pay @ 100%
2021-12-14,6.75,SI - STD Pay @ 100%
2021-12-15,6.75,SI - STD Pay @ 100%
2021-12-16,6.75,SI - STD Pay @ 100%
2021-12-17,6.75,SI - STD Pay @ 100%
2021-12-20,6.75,SI - STD Pay @ 100%
2021-12-21,6.75,SI - STD Pay @ 100%
2021-12-22,6.75,SI - STD Pay @ 100%
2021-12-23,6.75,SI - STD Pay @ 100%
2021-12-24,6.75,SI - STD Pay @ 100%
2021-12-27,6.75,SI - STD Pay @ 100%
2021-12-28,6.75,SI - STD Pay @ 100%
2021-12-29,6.75,SI - STD Pay @ 100%
2021-12-30,6.75,SI - STD Pay @ 100%
2021-12-31,6.75,SI - STD Pay @ 100%
2021-12-13,8,SI - STD Pay @ 100%
2021-12-14,8,SI - STD Pay @ 100%
2021-12-15,8,SI - STD Pay @ 100%
2021-12-16,8,SI - STD Pay @ 100%
2021-12-17,8,SIE - STD Pay @ 100% Incident End
2021-07-18,10,SI - STD Pay @ 100%
2021-07-19,10,SIE - STD Pay @ 100% Incident End
2021-11-07,10,SIE - STD Pay @ 100% Incident End
2021-12-09,10,SI - STD Pay @ 100%
2021-12-10,10,SIE - STD Pay @ 100% Incident End
2021-02-04,10,SI - STD Pay @ 100%
2021-02-05,10,SI - STD Pay @ 100%
2021-02-06,14,SI - STD Pay @ 100%
2021-02-07,14,SIE - STD Pay @ 100% Incident End
2021-12-31,10,SIE - STD Pay @ 100% Incident End
2021-01-31,12,SI - STD Pay @ 100%
2021-02-01,12,SI - STD Pay @ 100%
2021-02-02,12,SI - STD Pay @ 100%
2021-02-03,12,SI - STD Pay @ 100%
2021-02-07,12,SIE - STD Pay @ 100% Incident End
2021-04-14,8,SI - STD Pay @ 100%
2021-04-15,8,SI - STD Pay @ 100%
2021-04-16,8,SIE - STD Pay @ 100% Incident End
2021-06-07,10,SI - STD Pay @ 100%
2021-06-08,10,SI - STD Pay @ 100%
2021-06-09,10,SI - STD Pay @ 100%
2021-06-10,10,SIE - STD Pay @ 100% Incident End
2021-08-09,10,S7 - STD Pay @75%
2021-08-10,10,S7 - STD Pay @75%
2021-08-11,10,S7 - STD Pay @75%
2021-08-12,10,S7 - STD Pay @75%
2021-09-20,10,S7E - STD Pay @ 75% Incident End
2021-12-05,12,S7 - STD Pay @75%
2021-12-06,12,S7 - STD Pay @75%
2021-12-07,12,S7 - STD Pay @75%
2021-12-08,8,S7E - STD Pay @ 75% Incident End
2021-01-14,8,SI - STD Pay @ 100%
2021-01-15,8,SI - STD Pay @ 100%
2021-01-16,8,SI - STD Pay @ 100%
2021-01-17,8,SI - STD Pay @ 100%
2021-01-18,8,SI - STD Pay @ 100%
2021-01-21,8,SI - STD Pay @ 100%
2021-01-22,8,SI - STD Pay @ 100%
2021-01-23,8,SI - STD Pay @ 100%
2021-01-24,8,SI - STD Pay @ 100%
2021-01-25,8,SI - STD Pay @ 100%
2021-01-28,8,SIE - STD Pay @ 100% Incident End
2021-10-30,8,SI - STD Pay @ 100%
2021-10-31,8,SI - STD Pay @ 100%
2021-11-01,8,SIE - STD Pay @ 100% Incident End
2021-06-09,1.5,SI - STD Pay @ 100%
2021-06-12,8,SI - STD Pay @ 100%
2021-06-13,8,SI - STD Pay @ 100%
2021-06-14,8,SI - STD Pay @ 100%
2021-06-15,8,SIE - STD Pay @ 100% Incident End
2021-05-25,8,SIE - STD Pay @ 100% Incident End
2021-09-14,8,SI - STD Pay @ 100%
2021-09-15,8,SIE - STD Pay @ 100% Incident End
2021-02-07,8,SI - STD Pay @ 100%
2021-02-08,8,SIE - STD Pay @ 100% Incident End
2021-06-29,8,SI - STD Pay @ 100%
2021-06-30,8,SIE - STD Pay @ 100% Incident End
2021-09-21,8,SI - STD Pay @ 100%
2021-09-22,8,SIE - STD Pay @ 100% Incident End
2021-12-11,8,SI - STD Pay @ 100%
2021-12-12,8,SI - STD Pay @ 100%
2021-12-13,8,SIE - STD Pay @ 100% Incident End
2021-06-22,8,S9E - STD Pay @ 90% Incident End
2021-05-02,8,SI - STD Pay @ 100%
2021-05-03,8,SI - STD Pay @ 100%
2021-05-04,8,SI - STD Pay @ 100%
2021-05-05,8,SI - STD Pay @ 100%
2021-05-06,8,SI - STD Pay @ 100%
2021-05-09,8,SI - STD Pay @ 100%
2021-05-10,8,SI - STD Pay @ 100%
2021-05-11,8,SI - STD Pay @ 100%
2021-05-12,8,SI - STD Pay @ 100%
2021-05-13,8,SI - STD Pay @ 100%
2021-05-16,8,SI - STD Pay @ 100%
2021-05-17,8,SI - STD Pay @ 100%
2021-05-18,8,SI - STD Pay @ 100%
2021-05-19,8,SI - STD Pay @ 100%
2021-05-20,8,SI - STD Pay @ 100%
2021-05-23,8,SI - STD Pay @ 100%
2021-05-24,8,SI - STD Pay @ 100%
2021-05-25,8,SI - STD Pay @ 100%
2021-05-26,8,SI - STD Pay @ 100%
2021-05-27,8,SI - STD Pay @ 100%
2021-05-30,8,SI - STD Pay @ 100%
2021-05-31,8,SI - STD Pay @ 100%
2021-06-01,8,SI - STD Pay @ 100%
2021-06-02,8,SI - STD Pay @ 100%
2021-06-03,8,SIE - STD Pay @ 100% Incident End
2021-06-20,8,SI - STD Pay @ 100%
2021-06-21,8,SI - STD Pay @ 100%
2021-06-22,8,SI - STD Pay @ 100%
2021-06-23,8,SI - STD Pay @ 100%
2021-06-24,8,SIE - STD Pay @ 100% Incident End
2021-10-14,8,SI - STD Pay @ 100%
2021-10-15,8,SI - STD Pay @ 100%
2021-10-16,8,SI - STD Pay @ 100%
2021-10-17,8,SI - STD Pay @ 100%
2021-10-18,8,SIE - STD Pay @ 100% Incident End
2021-12-20,8,SI - STD Pay @ 100%
2021-12-21,8,SI - STD Pay @ 100%
2021-12-22,8,SIE - STD Pay @ 100% Incident End
2021-01-01,8,SI - STD Pay @ 100%
2021-01-04,8,SIE - STD Pay @ 100% Incident End
2021-06-14,8,SIE - STD Pay @ 100% Incident End
2021-07-07,8,SIE - STD Pay @ 100% Incident End
2021-10-12,8,SIE - STD Pay @ 100% Incident End
2021-11-18,7.7,SIE - STD Pay @ 100% Incident End
2021-12-05,8,SI - STD Pay @ 100%
2021-12-06,8,SI - STD Pay @ 100%
2021-12-07,8,SI - STD Pay @ 100%
2021-12-08,8,SI - STD Pay @ 100%
2021-12-11,8,SIE - STD Pay @ 100% Incident End
2021-01-31,8,SI - STD Pay @ 100%
2021-02-03,8,SI - STD Pay @ 100%
2021-02-04,8,SI - STD Pay @ 100%
2021-02-05,8,SI - STD Pay @ 100%
2021-02-06,8,SI - STD Pay @ 100%
2021-02-07,8,SI - STD Pay @ 100%
2021-02-10,8,SI - STD Pay @ 100%
2021-02-11,8,SI - STD Pay @ 100%
2021-02-12,8,SI - STD Pay @ 100%
2021-02-13,8,SI - STD Pay @ 100%
2021-02-15,8,SI - STD Pay @ 100%
2021-02-16,8,SI - STD Pay @ 100%
2021-02-17,8,SI - STD Pay @ 100%
2021-02-18,8,SI - STD Pay @ 100%
2021-02-19,8,SI - STD Pay @ 100%
2021-02-22,8,SI - STD Pay @ 100%
2021-02-23,8,SI - STD Pay @ 100%
2021-02-24,8,SI - STD Pay @ 100%
2021-02-25,8,SI - STD Pay @ 100%
2021-02-26,8,SI - STD Pay @ 100%
2021-03-01,8,SI - STD Pay @ 100%
2021-03-02,8,SI - STD Pay @ 100%
2021-03-03,8,SI - STD Pay @ 100%
2021-03-04,8,SI - STD Pay @ 100%
2021-03-05,8,SI - STD Pay @ 100%
2021-03-08,8,SI - STD Pay @ 100%
2021-03-09,8,SI - STD Pay @ 100%
2021-03-10,8,SI - STD Pay @ 100%
2021-03-11,8,SI - STD Pay @ 100%
2021-03-12,8,SI - STD Pay @ 100%
2021-03-14,8,SI - STD Pay @ 100%
2021-03-17,8,SI - STD Pay @ 100%
2021-03-18,8,SI - STD Pay @ 100%
2021-03-19,8,SI - STD Pay @ 100%
2021-03-20,8,SI - STD Pay @ 100%
2021-03-21,8,SIE - STD Pay @ 100% Incident End
2021-07-14,8,SI - STD Pay @ 100%
2021-07-15,8,SI - STD Pay @ 100%
2021-07-16,8,SI - STD Pay @ 100%
2021-07-17,8,SI - STD Pay @ 100%
2021-07-19,8,SI - STD Pay @ 100%
2021-07-20,8,SI - STD Pay @ 100%
2021-07-21,8,SI - STD Pay @ 100%
2021-07-22,8,SI - STD Pay @ 100%
2021-07-23,8,SI - STD Pay @ 100%
2021-07-26,8,SI - STD Pay @ 100%
2021-07-27,8,SI - STD Pay @ 100%
2021-07-28,8,SI - STD Pay @ 100%
2021-07-29,8,SI - STD Pay @ 100%
2021-07-30,8,SI - STD Pay @ 100%
2021-08-02,8,SI - STD Pay @ 100%
2021-08-03,8,SI - STD Pay @ 100%
2021-08-04,8,SI - STD Pay @ 100%
2021-08-05,8,SI - STD Pay @ 100%
2021-08-06,8,SI - STD Pay @ 100%
2021-08-09,8,SI - STD Pay @ 100%
2021-08-10,8,SI - STD Pay @ 100%
2021-08-11,8,SI - STD Pay @ 100%
2021-08-12,8,SI - STD Pay @ 100%
2021-08-13,8,SI - STD Pay @ 100%
2021-08-16,8,SI - STD Pay @ 100%
2021-08-17,8,SI - STD Pay @ 100%
2021-08-18,8,SI - STD Pay @ 100%
2021-08-19,8,SI - STD Pay @ 100%
2021-08-20,8,SI - STD Pay @ 100%
2021-08-23,8,SI - STD Pay @ 100%
2021-08-24,8,SI - STD Pay @ 100%
2021-08-25,8,SI - STD Pay @ 100%
2021-08-26,8,SI - STD Pay @ 100%
2021-08-27,8,SI - STD Pay @ 100%
2021-08-30,8,SI - STD Pay @ 100%
2021-08-31,8,SI - STD Pay @ 100%
2021-09-01,8,SI - STD Pay @ 100%
2021-09-02,8,SI - STD Pay @ 100%
2021-09-03,8,SI - STD Pay @ 100%
2021-09-06,8,SI - STD Pay @ 100%
2021-09-07,8,SI - STD Pay @ 100%
2021-09-08,8,SI - STD Pay @ 100%
2021-09-09,8,SI - STD Pay @ 100%
2021-09-10,8,SI - STD Pay @ 100%
2021-09-13,8,SI - STD Pay @ 100%
2021-09-14,8,SI - STD Pay @ 100%
2021-09-15,8,SI - STD Pay @ 100%
2021-09-16,8,SI - STD Pay @ 100%
2021-09-17,8,SI - STD Pay @ 100%
2021-09-20,8,S9 - STD Pay @ 90%
2021-09-21,8,S9 - STD Pay @ 90%
2021-09-22,8,S9 - STD Pay @ 90%
2021-09-23,8,S9 - STD Pay @ 90%
2021-09-24,8,S9 - STD Pay @ 90%
2021-09-27,8,S9 - STD Pay @ 90%
2021-09-28,8,S9 - STD Pay @ 90%
2021-09-29,8,S9 - STD Pay @ 90%
2021-09-30,8,S9 - STD Pay @ 90%
2021-10-01,8,S9 - STD Pay @ 90%
2021-10-04,8,S9 - STD Pay @ 90%
2021-10-05,8,S9 - STD Pay @ 90%
2021-10-06,8,S9 - STD Pay @ 90%
2021-10-07,8,S9 - STD Pay @ 90%
2021-10-08,8,S9 - STD Pay @ 90%
2021-10-11,8,S9 - STD Pay @ 90%
2021-10-12,8,S9 - STD Pay @ 90%
2021-10-13,8,S9 - STD Pay @ 90%
2021-10-14,8,S9 - STD Pay @ 90%
2021-10-15,8,S9 - STD Pay @ 90%
2021-10-18,8,S9 - STD Pay @ 90%
2021-10-19,8,S9 - STD Pay @ 90%
2021-10-20,8,S9 - STD Pay @ 90%
2021-10-21,8,S9 - STD Pay @ 90%
2021-10-22,8,S9 - STD Pay @ 90%
2021-10-25,8,S9 - STD Pay @ 90%
2021-10-26,8,S9 - STD Pay @ 90%
2021-10-27,8,S9 - STD Pay @ 90%
2021-10-28,8,S9 - STD Pay @ 90%
2021-10-29,8,S9 - STD Pay @ 90%
2021-11-01,8,S9 - STD Pay @ 90%
2021-11-02,8,S9 - STD Pay @ 90%
2021-11-03,8,S9 - STD Pay @ 90%
2021-11-04,8,S9 - STD Pay @ 90%
2021-11-05,8,S9 - STD Pay @ 90%
2021-11-08,8,S9E - STD Pay @ 90% Incident End
2021-07-26,8,SI - STD Pay @ 100%
2021-07-27,8,SI - STD Pay @ 100%
2021-07-28,8,SIE - STD Pay @ 100% Incident End
2021-03-07,5.5,SI - STD Pay @ 100%
2021-03-08,8,SIE - STD Pay @ 100% Incident End
2021-12-13,8,SI - STD Pay @ 100%
2021-12-14,8,SI - STD Pay @ 100%
2021-12-15,8,SIE - STD Pay @ 100% Incident End
2021-03-19,7.5,SIE - STD Pay @ 100% Incident End
2021-06-15,7.5,SI - STD Pay @ 100%
2021-06-16,7.5,SIE - STD Pay @ 100% Incident End
2021-09-18,7.25,LSE - Limited Sick End
2021-10-18,8,SI - STD Pay @ 100%
2021-10-19,8,SIE - STD Pay @ 100% Incident End
2021-05-06,8,SI - STD Pay @ 100%
2021-05-07,8,SI - STD Pay @ 100%
2021-05-10,8,SIE - STD Pay @ 100% Incident End
2021-06-11,8,SI - STD Pay @ 100%
2021-06-14,8,SI - STD Pay @ 100%
2021-06-15,8,SIE - STD Pay @ 100% Incident End
2021-10-06,8,SI - STD Pay @ 100%
2021-10-07,8,SI - STD Pay @ 100%
2021-10-08,8,SIE - STD Pay @ 100% Incident End
2021-11-25,5,LS9 - Limited Sick @ 90%
2021-11-26,5,LS9 - Limited Sick @ 90%
2021-11-27,3.88,LS9 - Limited Sick @ 90%
2021-05-10,8,S9E - STD Pay @ 90% Incident End
2021-06-23,10,SI - STD Pay @ 100%
2021-06-24,10,SI - STD Pay @ 100%
2021-06-25,10,SI - STD Pay @ 100%
2021-06-29,10,SI - STD Pay @ 100%
2021-06-30,10,SI - STD Pay @ 100%
2021-07-02,10,SI - STD Pay @ 100%
2021-07-05,8,SI - STD Pay @ 100%
2021-07-06,8,SI - STD Pay @ 100%
2021-07-07,8,SI - STD Pay @ 100%
2021-07-08,8,SI - STD Pay @ 100%
2021-07-09,8,SI - STD Pay @ 100%
2021-07-12,8,SI - STD Pay @ 100%
2021-07-13,8,SI - STD Pay @ 100%
2021-07-14,8,SI - STD Pay @ 100%
2021-07-15,8,SI - STD Pay @ 100%
2021-07-16,8,SI - STD Pay @ 100%
2021-07-19,8,SI - STD Pay @ 100%
2021-07-20,8,SI - STD Pay @ 100%
2021-07-21,8,SI - STD Pay @ 100%
2021-07-22,8,SI - STD Pay @ 100%
2021-07-23,8,SI - STD Pay @ 100%
2021-07-26,8,SI - STD Pay @ 100%
2021-07-27,8,SI - STD Pay @ 100%
2021-07-28,8,SI - STD Pay @ 100%
2021-07-29,8,SI - STD Pay @ 100%
2021-07-30,8,SI - STD Pay @ 100%
2021-08-02,8,SI - STD Pay @ 100%
2021-08-03,8,SI - STD Pay @ 100%
2021-08-04,8,SI - STD Pay @ 100%
2021-08-05,8,SI - STD Pay @ 100%
2021-08-06,8,SI - STD Pay @ 100%
2021-08-09,8,SI - STD Pay @ 100%
2021-08-10,8,SI - STD Pay @ 100%
2021-08-11,8,SI - STD Pay @ 100%
2021-08-12,8,SI - STD Pay @ 100%
2021-08-13,8,SIE - STD Pay @ 100% Incident End
2021-10-08,3.5,SI - STD Pay @ 100%
2021-11-14,12,SI - STD Pay @ 100%
2021-11-15,12,SI - STD Pay @ 100%
2021-11-16,12,SIE - STD Pay @ 100% Incident End
2021-12-09,7.5,SIE - STD Pay @ 100% Incident End
2021-12-23,7.5,SIE - STD Pay @ 100% Incident End
2021-06-19,5.5,LS9 - Limited Sick @ 90%
2021-11-20,6,LS9 - Limited Sick @ 90%
2021-11-21,4.2,LS9 - Limited Sick @ 90%
2021-12-28,7.5,LS9 - Limited Sick @ 90%
2021-09-16,10,SI - STD Pay @ 100%
2021-09-17,10,SIE - STD Pay @ 100% Incident End
2021-10-12,10,SI - STD Pay @ 100%
2021-10-13,10,SIE - STD Pay @ 100% Incident End
2021-01-20,8,SI - STD Pay @ 100%
2021-01-21,8,SI - STD Pay @ 100%
2021-01-22,8,SI - STD Pay @ 100%
2021-01-25,8,SIE - STD Pay @ 100% Incident End
2021-08-09,8,SI - STD Pay @ 100%
2021-08-10,8,SI - STD Pay @ 100%
2021-08-11,8,SI - STD Pay @ 100%
2021-08-12,8,SI - STD Pay @ 100%
2021-08-13,8,SIE - STD Pay @ 100% Incident End
2021-11-22,8,SI - STD Pay @ 100%
2021-11-23,8,SI - STD Pay @ 100%
2021-11-24,8,SI - STD Pay @ 100%
2021-11-25,8,SI - STD Pay @ 100%
2021-11-26,8,SIE - STD Pay @ 100% Incident End
2021-07-14,4,SI - STD Pay @ 100%
2021-07-15,8,SI - STD Pay @ 100%
2021-07-16,8,SIE - STD Pay @ 100% Incident End
2021-12-29,8,SI - STD Pay @ 100%
2021-12-30,8,SI - STD Pay @ 100%
2021-12-31,8,SIE - STD Pay @ 100% Incident End
2021-04-17,10,SI - STD Pay @ 100%
2021-04-18,10,SIE - STD Pay @ 100% Incident End
2021-04-14,10,SI - STD Pay @ 100%
2021-04-15,14,SI - STD Pay @ 100%
2021-04-16,14,SIE - STD Pay @ 100% Incident End
2021-10-03,14,SI - STD Pay @ 100%
2021-10-06,10,SI - STD Pay @ 100%
2021-10-07,10,SI - STD Pay @ 100%
2021-10-08,14,SI - STD Pay @ 100%
2021-10-09,14,SIE - STD Pay @ 100% Incident End
2021-09-25,14,SI - STD Pay @ 100%
2021-09-28,10,SI - STD Pay @ 100%
2021-09-29,10,SIE - STD Pay @ 100% Incident End
